uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
GO;520005;ABADIA DE GOIÁS;182;84844;194;116714;283;134127.00;269;154206;300;189478.00;410;255127.00;464;375366.00
MG;310010;ABADIA DOS DOURADOS;454;175967;563;316439;513;313365.00;518;287170;519;358632.00;611;452660.00;587;523033.00
GO;520010;ABADIÂNIA;633;408591;657;461520;897;539585.00;884;576546;838;698168.00;837;699459.00;781;721020.00
MG;310020;ABAETÉ;1260;373919;1711;813719;1735;846530.00;1627;846975;1285;874956.00;1512;1004078.00;1514;1131824.00
PA;150010;ABAETETUBA;7503;6513626;10220;7786402;11876;10110773.00;12601;11970055;12828;14721109.00;15168;17224576.00;16919;22021159.00
CE;230010;ABAIARA;1004;753247;1184;886645;1429;1102299.00;1362;1240912;1281;1378754.00;1600;1600969.00;1659;1877111.00
BA;290010;ABAÍRA;925;674927;1160;820292;1317;1003064.00;1270;1082172;1231;1216746.00;1080;1188804.00;1217;1347610.00
BA;290020;ABARÉ;1541;1019007;1623;1372739;2034;1639087.00;2079;1960403;1997;2266165.00;2449;2657323.00;2810;3526164.00
PR;410010;ABATIÁ;551;229316;690;457966;739;469309.00;719;562182;685;658707.00;678;725723.00;741;852814.00
SC;420005;ABDON BATISTA;80;22354;98;67326;146;102040.00;177;130342;193;175954.00;165;186418.00;166;187083.00
SC;420010;ABELARDO LUZ;617;283993;1080;646330;1064;844624.00;1163;967486;1035;1040890.00;1220;1200523.00;1282;1490942.00
PA;150013;ABEL FIGUEIREDO;324;282840;473;321092;581;453363.00;594;536668;596;628806.00;644;732719.00;737;923074.00
MG;310030;ABRE CAMPO;639;312626;1065;597025;1251;915989.00;1181;1037683;1067;1136857.00;1163;1114874.00;1259;1338964.00
PE;260005;ABREU E LIMA;4790;3208921;4876;3945695;9388;4728922.00;9333;7897010;8567;9094460.00;12260;11061262.00;11583;13443447.00
TO;170025;ABREULÂNDIA;90;47241;93;63757;225;118245.00;265;166790;263;230740.00;337;305088.00;341;391289.00
MG;310040;ACAIACA;234;61558;403;217823;461;310987.00;434;357277;340;378058.00;378;376420.00;414;425941.00
MA;210005;AÇAILÂNDIA;4879;2713518;5581;4377598;8527;5714676.00;8747;6969251;9159;8575738.00;12746;12206180.00;13121;15255944.00
BA;290030;ACAJUTIBA;454;364995;900;527051;1951;1507108.00;1958;1933209;1926;2214840.00;1923;2336174.00;2009;2626098.00
PA;150020;ACARÁ;1732;1402633;1772;1469978;1838;1494194.00;4459;3665715;5175;5410752.00;5396;6583796.00;5450;7267207.00
CE;230015;ACARAPE;1183;878095;1423;1075671;1808;1178369.00;1842;1499873;1601;1722055.00;1953;2014634.00;2065;2295560.00
CE;230020;ACARAÚ;4443;3660032;6145;4132617;7048;5423582.00;7020;6233969;6841;7329328.00;7510;8161682.00;8015;10142311.00
RN;240010;ACARI;889;557560;1004;678385;1293;744111.00;1196;869296;1102;985704.00;1095;1104870.00;1223;1308021.00
PI;220005;ACAUÃ;967;666054;966;822655;1105;891869.00;1054;965774;1010;1083495.00;1203;1245839.00;1246;1435050.00
RS;430003;ACEGUÁ;73;40028;73;49054;194;114834.00;199;138635;171;163000.00;290;212462.00;314;305263.00
CE;230030;ACOPIARA;4726;3493774;5854;4209827;7335;5273262.00;7557;6254479;7825;7976469.00;8518;9113117.00;8461;9454473.00
MT;510010;ACORIZAL;365;96210;476;313825;573;412056.00;561;463894;532;532501.00;678;670392.00;721;829241.00
AC;120001;ACRELÂNDIA;402;330915;742;469327;779;655895.00;932;729963;968;1025770.00;1068;1185999.00;1033;1311218.00
GO;520013;ACREÚNA;643;175642;724;405762;1265;617727.00;1184;795269;1074;922158.00;1429;1176597.00;1397;1451457.00
RN;240020;AÇU;3778;2922760;4895;3330733;5580;3830391.00;5261;4145582;4780;4793420.00;6074;5769779.00;5929;6838613.00
MG;310050;AÇUCENA;1119;504027;1325;976847;1466;1155907.00;1266;1164082;1246;1202658.00;1207;1305170.00;1178;1310325.00
SP;350010;ADAMANTINA;952;324445;1384;708847;1607;826220.00;1337;851189;926;844458.00;852;725400.00;597;564177.00
GO;520015;ADELÂNDIA;48;17708;56;31048;227;82744.00;267;156023;260;224084.00;202;218096.00;218;218522.00
SP;350020;ADOLFO;150;34546;146;82189;149;78851.00;148;86609;112;101400.00;150;121050.00;141;131626.00
PR;410020;ADRIANÓPOLIS;413;182144;414;254450;602;355793.00;540;438121;527;491948.00;532;571350.00;574;609325.00
BA;290035;ADUSTINA;1744;1138707;1825;1549340;2038;1724889.00;2032;1887433;1970;2181428.00;2105;2318483.00;2322;2761310.00
PE;260010;AFOGADOS DA INGAZEIRA;2835;1304942;3188;2281474;4531;2979917.00;4705;3797413;4550;4751580.00;5169;5284719.00;5081;6108930.00
RN;240030;AFONSO BEZERRA;1203;713590;1435;1070882;1551;1187975.00;1453;1244636;1487;1476860.00;1608;1762054.00;1627;1929475.00
ES;320010;AFONSO CLÁUDIO;1958;679076;2845;1776205;3313;2499963.00;3207;2883898;2984;3205450.00;3840;3545881.00;3803;4342587.00
MA;210010;AFONSO CUNHA;621;578040;642;584942;821;660714.00;814;750884;729;842464.00;828;937648.00;908;1216453.00
PE;260020;AFRÂNIO;1622;930530;2014;1551408;2621;2043932.00;2704;2438223;2584;2826728.00;2620;3094113.00;2838;3578408.00
PA;150030;AFUÁ;1312;1044959;2016;1360981;2325;1977585.00;2620;2335449;2768;2882746.00;3349;3816673.00;3676;4796454.00
PE;260030;AGRESTINA;2234;1747117;2838;2059450;3117;2332758.00;3103;2752707;3036;3276550.00;3088;3614049.00;3589;4007455.00
PI;220010;AGRICOLÂNDIA;529;383397;726;486531;854;653917.00;827;734900;821;883646.00;778;969530.00;768;953217.00
SC;420020;AGROLÂNDIA;186;92512;328;172121;312;189276.00;302;204314;259;202584.00;286;229096.00;258;246627.00
SC;420030;AGRONÔMICA;85;42574;99;50986;94;51756.00;84;52301;58;49222.00;61;49935.00;70;54539.00
PA;150034;ÁGUA AZUL DO NORTE;444;312881;461;338218;1362;930475.00;1400;1300392;2007;1865026.00;2589;2677860.00;2850;3224676.00
MG;310060;ÁGUA BOA;1373;1052953;1704;1277981;1731;1440184.00;1614;1532967;1565;1724706.00;1667;2032450.00;1908;2492404.00
MT;510020;ÁGUA BOA;228;70675;587;195452;979;532088.00;747;685293;675;697388.00;856;807382.00;811;878535.00
PB;250010;ÁGUA BRANCA;1046;657020;1244;1007986;1503;1223984.00;1441;1343460;1412;1552640.00;1323;1606122.00;1299;1666672.00
AL;270010;ÁGUA BRANCA;1892;1275048;2063;1793418;2812;2269858.00;2707;2561973;2589;2916408.00;2801;3150745.00;3042;3966649.00
PI;220020;ÁGUA BRANCA;1452;1202200;1915;1354850;2370;1844330.00;2168;2079979;2145;2322139.00;1923;2375213.00;1915;2381333.00
MS;500020;ÁGUA CLARA;16;11040;59;18235;594;239036.00;520;372594;409;345855.00;570;447494.00;464;466606.00
MG;310070;ÁGUA COMPRIDA;69;32107;85;48606;95;57695.00;89;53508;81;59592.00;89;68761.00;100;87791.00
SC;420040;ÁGUA DOCE;227;141884;318;184568;314;218668.00;293;230249;273;253450.00;259;283311.00;257;320967.00
MA;210015;ÁGUA DOCE DO MARANHÃO;1017;851195;1081;862641;1748;1230168.00;1758;1659304;1716;1936676.00;1808;2231289.00;1883;2530576.00
ES;320016;ÁGUA DOCE DO NORTE;250;107906;929;365948;1786;1247685.00;1723;1512395;1670;1747114.00;1658;1889811.00;1755;2088204.00
BA;290040;ÁGUA FRIA;971;924767;1011;932223;1886;1330416.00;1983;1740448;2163;2320938.00;2128;2534623.00;2271;2846000.00
GO;520017;ÁGUA FRIA DE GOIÁS;53;27055;53;32400;305;102403.00;410;235636;397;344851.00;453;413931.00;448;459372.00
SP;350030;AGUAÍ;922;318312;1191;657500;1378;779622.00;1116;708666;1046;837282.00;1365;1005949.00;1397;1243574.00
GO;520020;ÁGUA LIMPA;95;14926;140;79709;186;105287.00;193;123472;155;142914.00;152;143462.00;148;141583.00
MG;310080;AGUANIL;202;50943;275;138983;272;150514.00;252;154486;232;175576.00;256;219994.00;242;220764.00
RN;240040;ÁGUA NOVA;264;203540;274;238191;429;306692.00;405;346239;406;402350.00;460;463440.00;461;523135.00
PE;260040;ÁGUA PRETA;2474;1417560;2952;2106222;4059;2769384.00;4286;3736526;4343;4733900.00;4711;5202267.00;5756;6592742.00
RS;430005;ÁGUA SANTA;153;73169;188;101595;158;95043.00;140;94315;114;98016.00;130;122035.00;129;136053.00
PE;260050;ÁGUAS BELAS;1552;942219;1587;1461637;3626;2279754.00;5590;4503354;6266;6971714.00;6051;7561885.00;6335;8263992.00
SP;350040;ÁGUAS DA PRATA;179;55671;227;135429;254;140156.00;260;147102;218;157706.00;256;188920.00;232;197710.00
SC;420050;ÁGUAS DE CHAPECÓ;200;157985;260;174430;260;201007.00;265;227144;240;236268.00;260;241337.00;217;235300.00
SP;350050;ÁGUAS DE LINDÓIA;332;114931;487;217830;458;275731.00;406;269914;349;290704.00;451;360034.00;470;431270.00
SP;350055;ÁGUAS DE SANTA BÁRBARA;174;75129;202;107810;255;139665.00;226;156672;177;155050.00;222;162600.00;211;177400.00
SP;350060;ÁGUAS DE SÃO PEDRO;13;1291;12;5181;14;4836.00;13;5229;12;5944.00;24;9391.00;31;19952.00
MG;310090;ÁGUAS FORMOSAS;1373;945781;1693;1281436;1965;1575402.00;2169;1749054;2035;2099817.00;2061;2328385.00;2278;2767295.00
SC;420055;ÁGUAS FRIAS;84;50279;104;70379;98;70026.00;86;66521;82;67398.00;112;74799.00;88;90440.00
GO;520025;ÁGUAS LINDAS DE GOIÁS;2784;1888117;3329;2217287;4237;2910384.00;5079;4141467;4946;5341118.00;9801;9164796.00;11511;13046858.00
SC;420060;ÁGUAS MORNAS;132;47919;159;72306;145;75157.00;131;74161;117;79818.00;82;79492.00;76;60258.00
MG;310100;ÁGUAS VERMELHAS;962;549261;1310;932536;1406;1112577.00;1341;1205558;1271;1382754.00;1406;1646484.00;1612;1984834.00
RS;430010;AGUDO;396;79169;745;325095;796;438720.00;707;498593;664;614072.00;851;812200.00;806;924160.00
SP;350070;AGUDOS;562;219107;898;563337;1187;787367.00;1273;981448;933;1091138.00;1324;1288739.00;1413;1532462.00
PR;410030;AGUDOS DO SUL;460;212368;635;327891;633;389254.00;570;393267;503;413502.00;604;498818.00;639;588785.00
ES;320013;ÁGUIA BRANCA;815;360649;930;755843;932;875219.00;756;681186;943;950014.00;1000;1137683.00;1016;1202253.00
PB;250020;AGUIAR;709;602132;827;609006;1044;784354.00;1020;878734;998;1005886.00;945;1018169.00;1024;1174385.00
TO;170030;AGUIARNÓPOLIS;90;7208;364;208145;423;343729.00;416;397568;393;444318.00;482;494098.00;499;637845.00
MG;310110;AIMORÉS;1558;549444;2276;1056141;2717;1507437.00;2517;1795767;2629;2180404.00;2403;2516571.00;2212;2474393.00
BA;290060;AIQUARA;389;318219;423;361129;639;440894.00;748;585578;780;770186.00;770;875738.00;752;927841.00
CE;230040;AIUABA;1699;1523800;1873;1525934;1927;1641850.00;2506;1955003;2435;2578382.00;2693;2889692.00;2809;3268248.00
MG;310120;AIURUOCA;310;55958;305;223212;319;232140.00;306;230373;261;244436.00;288;241117.00;271;258108.00
RS;430020;AJURICABA;307;151128;394;209163;430;256686.00;365;275506;296;260424.00;353;293725.00;347;308159.00
MG;310130;ALAGOA;224;85711;247;163042;268;158754.00;270;179820;214;197310.00;261;218780.00;276;261998.00
PB;250030;ALAGOA GRANDE;3039;2267080;3699;2799402;3660;3083499.00;4090;3534174;4340;4317678.00;4247;4927832.00;4017;4994736.00
PB;250040;ALAGOA NOVA;1928;1291993;2465;1760769;2456;2095287.00;2634;2251746;2529;2670436.00;2425;2812457.00;2285;2833127.00
PE;260060;ALAGOINHA;937;682293;1584;961364;2279;1652161.00;2218;1990615;2112;2236962.00;2124;2447033.00;2075;2499764.00
PB;250050;ALAGOINHA;1316;1083108;1585;1217932;1913;1534056.00;1683;1644508;1698;1836146.00;1705;2006522.00;1802;2268564.00
PI;220025;ALAGOINHA DO PIAUÍ;881;675014;962;697060;1220;864866.00;1187;971710;1114;1181747.00;1362;1291585.00;1426;1552778.00
BA;290070;ALAGOINHAS;4788;2548256;6419;4721301;10826;7873226.00;11066;9429882;11102;11687695.00;13298;14299688.00;13891;15651251.00
SP;350075;ALAMBARI;130;59329;173;96894;167;96316.00;155;111298;145;111756.00;178;134176.00;232;181375.00
MG;310140;ALBERTINA;71;27298;118;58343;93;71761.00;98;75749;104;89852.00;112;90701.00;111;98302.00
MA;210020;ALCÂNTARA;2323;1714842;2847;2145466;3198;2499437.00;3192;2774470;3595;3717082.00;3836;4032548.00;4066;4761083.00
CE;230050;ALCÂNTARAS;1042;867755;1253;990026;1374;1108213.00;1410;1271167;1431;1504558.00;1395;1586499.00;1537;1833483.00
PB;250053;ALCANTIL;575;404224;650;508741;662;505360.00;699;591846;711;710861.00;760;814948.00;769;896238.00
MS;500025;ALCINÓPOLIS;32;25965;142;46846;265;129070.00;291;186916;273;243924.00;314;280486.00;310;326209.00
BA;290080;ALCOBAÇA;1384;1068761;2095;1371362;2297;1752973.00;2180;1932324;2030;2184558.00;2497;2613865.00;2832;3528769.00
MA;210030;ALDEIAS ALTAS;2089;1991715;2605;2033692;3348;2598147.00;3026;2825116;3019;3390824.00;3597;3857049.00;3709;4730766.00
RS;430030;ALECRIM;600;292074;642;436137;585;372291.00;633;390258;520;418620.00;625;553708.00;644;670718.00
ES;320020;ALEGRE;1573;766168;1623;1195456;2649;1599090.00;2763;1982354;2605;2339278.00;2436;2385354.00;2300;2250021.00
RS;430040;ALEGRETE;2311;1013256;4293;2193465;5328;3320824.00;4871;3869413;4353;4277653.00;5700;5272405.00;6108;6597246.00
PI;220027;ALEGRETE DO PIAUÍ;493;468330;566;474449;693;522982.00;713;629592;672;722589.00;725;795552.00;748;911398.00
RS;430045;ALEGRIA;278;97937;424;236862;414;297623.00;385;320319;352;352632.00;350;394083.00;364;393198.00
MG;310150;ALÉM PARAÍBA;1248;265664;1817;975597;1984;1458579.00;1885;1663633;1765;1908256.00;1686;1975937.00;1779;2168672.00
PA;150040;ALENQUER;2317;1728901;2883;1995304;4656;2982575.00;4667;4468203;4537;5314575.00;5317;6356464.00;6179;8593457.00
RN;240050;ALEXANDRIA;1415;891564;1719;1194225;2007;1492223.00;2128;1708271;1969;2021443.00;2088;2192696.00;2128;2324876.00
GO;520030;ALEXÂNIA;1005;702572;1071;785699;1363;915125.00;1474;1102515;1457;1359228.00;1690;1530516.00;1784;1962740.00
MG;310160;ALFENAS;1716;1125925;2089;1427846;2400;1616393.00;2173;1632352;2237;1958160.00;3267;2893418.00;3418;3605895.00
ES;320030;ALFREDO CHAVES;275;71233;333;177567;666;315469.00;722;481967;879;707416.00;941;844208.00;1021;971781.00
SP;350080;ALFREDO MARCONDES;65;40459;188;80756;194;92587.00;204;110832;112;108216.00;139;104512.00;169;115270.00
MG;310163;ALFREDO VASCONCELOS;326;218381;448;250115;396;289084.00;402;297883;380;372398.00;417;429348.00;406;457815.00
SC;420070;ALFREDO WAGNER;237;91741;338;150153;311;170721.00;308;190649;255;193982.00;332;255829.00;272;272230.00
PB;250057;ALGODÃO DE JANDAÍRA;203;142132;287;195761;342;256538.00;334;288152;345;339890.00;400;404535.00;434;520672.00
PB;250060;ALHANDRA;383;168073;1727;842771;2338;1639426.00;2282;1952827;2044;2180028.00;2273;2550391.00;2468;3041446.00
PE;260070;ALIANÇA;2861;1197037;3541;2337224;5074;3022913.00;5144;4136599;5019;5041692.00;5171;5708684.00;4793;5817838.00
TO;170035;ALIANÇA DO TOCANTINS;353;199841;492;274721;659;404878.00;734;552668;650;651260.00;672;709497.00;619;712303.00
BA;290090;ALMADINA;609;386684;662;520104;981;641580.00;1056;901191;1096;1134194.00;1228;1335737.00;1149;1360381.00
TO;170040;ALMAS;456;359303;508;417022;838;593505.00;903;767280;895;969186.00;954;1129528.00;994;1287882.00
PA;150050;ALMEIRIM;1946;1235915;2371;1923189;3056;2460656.00;2677;2679839;2733;3151560.00;2681;3397486.00;2562;3458438.00
MG;310170;ALMENARA;3315;1769536;3617;2717758;4263;3181236.00;4314;3639140;4142;4224245.00;4069;4529961.00;4464;5159678.00
RN;240060;ALMINO AFONSO;524;236465;748;481679;790;592029.00;780;651646;746;771725.00;754;843447.00;737;841279.00
PR;410040;ALMIRANTE TAMANDARÉ;2964;1332380;4413;2402270;4602;3230467.00;4493;3678782;3432;3625746.00;6605;4510565.00;5041;5003651.00
RS;430047;ALMIRANTE TAMANDARÉ DO SUL;51;39839;103;48634;104;64069.00;92;76803;86;80968.00;91;90039.00;89;93296.00
GO;520050;ALOÂNDIA;58;21834;111;45356;174;83641.00;167;111692;157;135876.00;168;163791.00;147;169736.00
MG;310180;ALPERCATA;428;168047;561;362126;721;461621.00;664;533774;547;574144.00;700;664536.00;670;776695.00
RS;430050;ALPESTRE;580;283689;735;494375;714;520801.00;654;532861;508;531956.00;365;480279.00;374;421031.00
MG;310190;ALPINÓPOLIS;770;384359;806;429892;858;493571.00;669;516487;707;579306.00;852;632050.00;793;739993.00
MT;510025;ALTA FLORESTA;1696;668394;2555;1282593;2852;1642823.00;2635;1758958;2193;1847600.00;3046;2327465.00;3187;3077709.00
RO;110001;ALTA FLORESTA D´OESTE;1609;1095209;2015;1490414;1909;1421271.00;2061;1623744;2038;2085104.00;2059;2177570.00;1979;2121593.00
SP;350090;ALTAIR;70;22440;110;45918;184;78555.00;194;123350;164;139844.00;158;151239.00;161;175369.00
PA;150060;ALTAMIRA;3198;1795228;5074;3181000;6591;4903973.00;6180;5733860;5785;6307404.00;8730;7983737.00;8145;9789663.00
MA;210040;ALTAMIRA DO MARANHÃO;780;625241;1102;763425;1410;1074502.00;1607;1384635;1641;1725218.00;1588;1856455.00;1436;1789084.00
PR;410045;ALTAMIRA DO PARANÁ;294;165654;504;251839;641;458222.00;579;503470;524;582434.00;517;614680.00;550;610214.00
CE;230060;ALTANEIRA;758;601248;944;698094;1042;801078.00;1005;860263;987;994401.00;1067;1179359.00;1110;1314006.00
MG;310200;ALTEROSA;527;256264;708;413921;784;456182.00;807;531584;629;551432.00;799;629609.00;784;736334.00
PE;260080;ALTINHO;2503;1066197;2623;1963786;3023;2206157.00;2911;2382505;2917;2763985.00;3249;3363928.00;3343;3719434.00
SP;350100;ALTINÓPOLIS;313;166880;513;280526;626;396984.00;586;441902;447;480020.00;605;586063.00;642;684756.00
RR;140005;ALTO ALEGRE;309;214232;358;243088;1493;974924.00;1677;1519919;1610;1913890.00;1775;2261350.00;1698;2243280.00
RS;430055;ALTO ALEGRE;75;23648;104;51894;113;66612.00;107;73265;97;81110.00;110;93194.00;109;116250.00
SP;350110;ALTO ALEGRE;156;39233;186;88842;166;86926.00;152;85752;97;90254.00;141;103628.00;135;112641.00
MA;210043;ALTO ALEGRE DO MARANHÃO;1684;1314191;2189;1621283;2987;2414233.00;3077;2870822;3111;3482970.00;3683;3975715.00;3729;4709318.00
MA;210047;ALTO ALEGRE DO PINDARÉ;2662;2235611;3556;2730724;4292;3670104.00;4088;4070576;3809;4569392.00;4834;5402979.00;4804;6393268.00
RO;110037;ALTO ALEGRE DOS PARECIS;358;165742;399;289151;592;412063.00;1001;685437;990;1039912.00;1078;1230726.00;1203;1346606.00
MT;510030;ALTO ARAGUAIA;405;157257;753;381943;796;503523.00;810;576751;771;677696.00;897;847798.00;828;903908.00
SC;420075;ALTO BELA VISTA;56;25073;68;40222;46;30795.00;41;24178;35;30760.00;30;33706.00;42;34024.00
MT;510035;ALTO BOA VISTA;291;115573;386;215664;324;218878.00;290;205212;294;247278.00;468;370787.00;435;499882.00
MG;310205;ALTO CAPARAÓ;266;129913;263;183232;288;195232.00;341;240937;300;262746.00;401;321151.00;431;446779.00
RN;240070;ALTO DO RODRIGUES;790;563474;938;625202;1035;695508.00;971;705255;808;773134.00;1206;1015004.00;1199;1312488.00
RS;430057;ALTO FELIZ;22;6699;7;7559;23;16020.00;17;6781;21;9798.00;17;16064.00;12;14626.00
MT;510040;ALTO GARÇAS;403;101787;487;255831;506;271103.00;498;292380;438;320964.00;552;402154.00;529;491477.00
GO;520055;ALTO HORIZONTE;41;24722;43;30504;234;91024.00;221;152507;212;175492.00;184;170313.00;257;194521.00
MG;315350;ALTO JEQUITIBÁ;373;283464;603;342571;705;469128.00;625;541208;612;626624.00;759;802629.00;814;972711.00
PI;220030;ALTO LONGÁ;1355;977174;1875;1284250;2056;1631560.00;2027;1787787;2019;2089744.00;2314;2327547.00;2396;2783139.00
PR;410050;ALTÔNIA;502;147049;778;411781;860;454288.00;778;542801;677;554642.00;757;562341.00;841;702717.00
MT;510050;ALTO PARAGUAI;424;92469;568;390999;531;416603.00;603;460901;619;658374.00;762;780467.00;751;867575.00
PR;412862;ALTO PARAÍSO;250;75674;334;189837;288;181451.00;257;199358;178;183926.00;169;166459.00;175;170346.00
RO;110040;ALTO PARAÍSO;303;132480;695;395131;1058;807745.00;1157;997072;1160;1273088.00;2160;1991825.00;2220;2515086.00
GO;520060;ALTO PARAÍSO DE GOIÁS;212;143204;354;190344;433;273382.00;443;327400;417;393378.00;719;561087.00;662;739622.00
PR;410060;ALTO PARANÁ;704;273841;876;457321;874;484850.00;698;505492;689;580818.00;840;711955.00;818;770090.00
MA;210050;ALTO PARNAÍBA;762;623292;1028;758851;1363;1116655.00;1333;1318025;1279;1541467.00;1393;1650910.00;1476;1969079.00
PR;410070;ALTO PIQUIRI;605;208055;826;458956;936;482923.00;879;572045;817;654669.00;749;671669.00;776;717970.00
MG;310210;ALTO RIO DOCE;785;264416;1371;887832;1534;1189617.00;1428;1257003;1345;1407560.00;1447;1500820.00;1423;1627415.00
ES;320035;ALTO RIO NOVO;523;154047;661;405075;661;471493.00;672;542122;650;621500.00;804;762389.00;732;876420.00
PI;220040;ALTOS;2537;1740708;3110;2412416;5060;3686847.00;4909;4386220;4647;5052690.00;5525;5745154.00;5287;6286959.00
CE;230070;ALTO SANTO;1563;998796;1957;1464524;2224;1739615.00;2182;1851961;2155;2203982.00;2500;2566894.00;2719;3000717.00
MT;510060;ALTO TAQUARI;164;36884;205;113435;235;126634.00;215;146017;174;148774.00;226;207098.00;259;280947.00
SP;350115;ALUMÍNIO;317;107826;410;242715;374;286042.00;459;320668;412;405564.00;538;490450.00;609;640787.00
AM;130002;ALVARÃES;594;517186;714;569342;850;648818.00;845;828491;831;1005770.00;1363;1457942.00;1542;2242339.00
MG;310220;ALVARENGA;489;303744;585;437340;540;446389.00;523;477153;558;575042.00;577;656089.00;566;668128.00
SP;350120;ÁLVARES FLORENCE;178;43096;208;89429;214;100859.00;197;114679;157;129290.00;140;137859.00;157;130461.00
SP;350130;ÁLVARES MACHADO;778;301450;1157;612788;1298;736616.00;1310;788650;1006;901942.00;1079;1004072.00;1102;1129738.00
SP;350140;ÁLVARO DE CARVALHO;131;64780;186;101685;219;142126.00;186;153616;203;192200.00;296;265952.00;322;347050.00
SP;350150;ALVINLÂNDIA;81;18262;121;51625;130;67306.00;163;79049;111;89368.00;145;108230.00;159;123052.00
MG;310230;ALVINÓPOLIS;936;354633;1248;763184;1392;884967.00;1342;930929;1078;1117194.00;1218;1230200.00;1276;1301724.00
RS;430060;ALVORADA;5340;2601972;6933;4547253;6942;4966027.00;6918;5203745;6191;6201802.00;7634;7631433.00;6866;7716266.00
TO;170070;ALVORADA;568;403817;772;493094;723;464769.00;761;529299;724;603790.00;763;699613.00;836;903627.00
MG;310240;ALVORADA DE MINAS;314;131422;469;297312;531;442161.00;479;452869;450;505346.00;409;505133.00;421;555734.00
RO;110034;ALVORADA D´OESTE;1617;1200709;2298;1622414;1918;1985072.00;1989;1850423;1895;2147790.00;2283;2501986.00;2287;2895512.00
PI;220045;ALVORADA DO GURGUÉIA;360;310079;505;384760;612;523998.00;612;578205;586;666590.00;708;772215.00;768;978559.00
GO;520080;ALVORADA DO NORTE;499;241189;614;410499;638;452588.00;633;503789;583;616562.00;778;808233.00;886;1091449.00
PR;410080;ALVORADA DO SUL;456;169943;547;290363;533;312074.00;464;323700;445;369132.00;596;467455.00;581;588468.00
RR;140002;AMAJARI;8;7500;9;7740;616;355105.00;729;613026;742;841310.00;966;1136965.00;1006;1226354.00
MS;500060;AMAMBAÍ;687;598695;1167;699049;1650;942824.00;2062;1524952;1946;2024714.00;2382;2407822.00;2549;3113987.00
AP;160010;AMAPÁ;175;171225;168;163880;397;262350.00;785;593684;816;926616.00;803;1047513.00;695;951438.00
MA;210055;AMAPÁ DO MARANHÃO;324;276127;585;326305;773;626968.00;792;743194;781;928002.00;966;1091637.00;1024;1362343.00
PR;410090;AMAPORÃ;97;29531;350;128268;344;214670.00;329;251555;257;270536.00;426;343504.00;447;520068.00
PE;260090;AMARAJI;541;226566;1465;721687;2836;1851512.00;3028;2730901;2886;3286028.00;3393;3862578.00;3745;4450953.00
RS;430063;AMARAL FERRADOR;248;120285;302;209552;346;230028.00;327;233476;374;325202.00;425;391035.00;429;439951.00
GO;520082;AMARALINA;64;24867;140;59937;240;126329.00;251;170393;303;229355.00;353;332775.00;341;367181.00
PI;220050;AMARANTE;1427;1105064;1992;1398900;2498;1726432.00;2483;2172267;2546;2701322.00;2651;2958994.00;2876;3395778.00
MA;210060;AMARANTE DO MARANHÃO;1685;773845;3823;2060316;5118;4291335.00;4856;4993865;4583;5362542.00;5774;6282707.00;5674;7655858.00
BA;290100;AMARGOSA;2218;1127473;3786;2100983;4433;3072963.00;4316;3634558;3985;4036116.00;4297;4199297.00;4382;5085858.00
AM;130006;AMATURÁ;160;156637;161;159588;707;492101.00;843;780364;854;1048914.00;929;1249351.00;1009;1504617.00
BA;290110;AMÉLIA RODRIGUES;423;331045;1118;586121;2480;1358623.00;2521;2075221;2671;2508136.00;2572;2912767.00;2852;3417506.00
BA;290115;AMÉRICA DOURADA;1440;1202559;1456;1200056;2160;1508879.00;2151;1912509;2267;2368768.00;2560;2756132.00;2718;3439933.00
SP;350160;AMERICANA;1182;561445;1655;914931;2177;1232225.00;2239;1571194;1810;1691277.00;2088;1719417.00;2240;2033061.00
GO;520085;AMERICANO DO BRASIL;81;33296;351;112643;468;256317.00;443;312633;391;321988.00;361;311107.00;362;306252.00
SP;350170;AMÉRICO BRASILIENSE;569;223440;904;464518;902;555952.00;894;619320;683;656140.00;748;666407.00;854;777739.00
SP;350180;AMÉRICO DE CAMPOS;298;92555;348;154415;496;234398.00;461;302202;412;364842.00;412;421779.00;371;428241.00
RS;430064;AMETISTA DO SUL;361;243556;484;310876;535;354812.00;536;368122;456;428358.00;726;586036.00;826;835689.00
CE;230075;AMONTADA;3918;2159184;4470;3479795;5187;4097931.00;4984;4472989;4792;5313089.00;5135;6085541.00;5874;7491565.00
GO;520090;AMORINÓPOLIS;243;43303;244;114602;371;154669.00;372;220863;398;379316.00;354;429698.00;344;420471.00
PB;250073;AMPARO;239;186270;242;198799;332;233172.00;327;279693;332;334118.00;336;365641.00;339;387435.00
SP;350190;AMPARO;651;294310;902;491118;1141;663115.00;1178;802857;941;901298.00;1034;979422.00;1055;1047292.00
SE;280010;AMPARO DE SÃO FRANCISCO;274;152599;323;253159;329;244352.00;305;251281;282;286100.00;342;321120.00;367;401466.00
MG;310250;AMPARO DO SERRA;94;54538;378;125683;504;324957.00;455;337755;419;390328.00;444;421496.00;538;524535.00
PR;410100;AMPÉRE;401;215774;846;402873;795;469867.00;691;451947;725;521118.00;795;594877.00;834;689907.00
