uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
RJ;330040;BARRA MANSA;1209;167130;2162;1122393;3669;1933562.00;4220;2930112;5471;4442345.00;6830;6241955.00;7550;7552886.00
PI;220120;BARRAS;3470;2863571;5441;3609691;6786;5410745.00;6634;6156877;6375;6995584.00;7275;7823100.00;7098;8920711.00
SC;420210;BARRA VELHA;578;262190;613;361713;452;263980.00;296;208051;350;254852.00;399;322716.00;456;389043.00
CE;230195;BARREIRA;2026;1382927;2355;1898695;2478;2092193.00;2729;2421685;2941;2949875.00;2908;3357305.00;2786;3508357.00
BA;290320;BARREIRAS;5579;2129519;6262;4505938;7763;5506801.00;7738;6445604;7266;7570912.00;12096;11150681.00;12867;14485872.00
PI;220130;BARREIRAS DO PIAUÍ;;;262;148720;394;320540.00;400;392398;412;482166.00;538;583080.00;536;691680.00
AM;130050;BARREIRINHA;1003;849275;1563;1117762;2625;2040707.00;2638;2571979;2552;3046312.00;2782;3525876.00;3013;4255902.00
MA;210170;BARREIRINHAS;5677;3093315;6766;5895282;6864;6003341.00;6847;6685248;6669;7789794.00;6649;8473926.00;7513;10090945.00
PE;260140;BARREIROS;3709;2013278;4015;2926626;5141;3499055.00;5104;4205424;4796;5172070.00;5928;6423561.00;6575;7789182.00
SP;350550;BARRETOS;2940;1200025;3740;2278238;4393;2586892.00;4073;2780273;3380;3013479.00;3307;3254993.00;3115;3450717.00
SP;350560;BARRINHA;190;182880;265;206778;1339;739317.00;1312;1104538;1192;1253304.00;1470;1486685.00;1565;1714895.00
CE;230200;BARRO;2780;2021387;2850;2489772;3516;2759001.00;3305;2991960;3106;3288699.00;3477;3635330.00;3392;4098462.00
BA;290323;BARRO ALTO;1211;878328;1698;1170533;2026;1575431.00;1962;1792524;1984;2071143.00;2096;2266406.00;2180;2614696.00
GO;520320;BARRO ALTO;285;197134;502;261841;592;411060.00;581;507848;578;621452.00;660;738937.00;591;825211.00
BA;290327;BARROCAS;1088;689860;1220;953147;1564;1138905.00;1503;1340357;1468;1543862.00;1813;1891250.00;2110;2508580.00
PI;220140;BARRO DURO;618;453406;711;546321;984;761506.00;973;873581;962;1021580.00;1036;1163044.00;1020;1222249.00
TO;170310;BARROLÂNDIA;500;409298;505;403219;673;442977.00;622;508371;558;551816.00;582;571811.00;689;761085.00
BA;290330;BARRO PRETO;380;321769;755;455145;845;594451.00;1199;888875;1295;1232036.00;1196;1295649.00;1146;1294673.00
CE;230205;BARROQUINHA;1467;978830;1901;1466585;2280;1769146.00;2226;2042955;2116;2314526.00;2018;2434760.00;2175;2757316.00
RS;430200;BARROS CASSAL;670;248920;826;509182;804;559085.00;816;564289;811;653910.00;891;730527.00;956;835185.00
MG;310590;BARROSO;953;372687;1368;746108;1592;932578.00;1389;977488;1273;1072154.00;1351;1089314.00;1375;1239451.00
